filtered_rank,player_id,player_name,n_press,n_rows,participation_total,participation_per_press,participation_rank,distance_total,distance_per_press,distance_rank,check_total,check_per_press,check_rank,position
1,05673e68-1d9f-8728-7874-b41679600750,"Anderson, Joey",35.0,131,0.5078715980460573,0.0133650420538436,116.0,1.7370739797982917,0.0457124731525866,37.0,2.90405422271862,0.0829729777919605,49.0,RW
2,5ed92cf2-bc71-8b27-ceef-13805029dcbc,"Lapierre, Hendrix",42.0,198,1.0217771574784835,0.0222125469017061,53.0,4.142301053946195,0.0941432057715044,7.0,3.4457176510431182,0.0820408964534075,50.0,C
3,68314a41-fbd6-d896-fb13-c348f321b1e6,"Wedman, Matthew",70.0,292,1.3110397766922544,0.0177167537390845,76.0,6.388001958925455,0.0912571708417922,8.0,5.248195287687677,0.0749742183955382,61.0,LW
4,34f1d587-08e6-10f2-c48d-54fb50d3b881,"Firstov, Vladislav",27.0,143,0.6558269364968599,0.0218608978832286,55.0,2.1288012911302365,0.0709600430376745,16.0,1.775935851843775,0.0657754019201398,65.0,F
5,1586746e-cebb-583e-a668-5f66df384eb2,"Bryson, Jacob",22.0,42,0.8696301465457085,0.0212104913791636,60.0,1.0474323826235516,0.026857240580091,152.0,1.3593071915683284,0.0617866905258331,76.0,D
6,beb04132-9c13-08d6-e1fb-01fa5272d50c,"Kiviranta, Joel",21.0,111,1.1417166782972783,0.0439121799345107,19.0,1.0452569770065965,0.0454459555220259,39.0,1.2694985482087753,0.0604523118194654,77.0,LW
7,9b65e913-a13d-a05b-9427-55f8feacc295,"Bitten, William",183.0,616,5.188258897418005,0.0278938650398817,45.0,8.590102532273935,0.0454502779485393,38.0,9.676273086470047,0.0528758092156833,83.0,F
8,34f46eb8-532d-889d-33f8-51b226bd083d,"Vecchione, Mike",176.0,778,1.3398697371481745,0.0075698855206111,253.0,3.251283991187575,0.0186855401792389,240.0,8.864030348996378,0.0503638088011157,89.0,F
9,c50ee147-78c1-e97c-f042-2810c51adffc,"Shaw, Mason",59.0,194,1.0128041404977903,0.0166033465655375,85.0,3.1575899118689295,0.0526264985311488,24.0,2.853997452157742,0.0483728381721651,91.0,LW
10,2fcd5eda-6ffa-3088-c189-0b3342a16345,"Fortier, Gabriel",143.0,508,1.8685264014887188,0.0127110639557055,125.0,9.20658145090991,0.0648350806402106,18.0,6.864894091773435,0.048006252390024,92.0,C
11,2e4b21f4-9426-ca70-4bb7-b7107d5d3c93,"Groshev, Maxim",24.0,0,3.1777238892765767,0.0120826003394546,137.0,0.6695722121385606,0.0027441484104039,400.0,1.1389952065571372,0.0474581336065473,93.0,D
12,472ae96c-4b00-987d-520b-b7574439702c,"Carpenter, Ryan",33.0,158,0.8056734124214935,0.0244143458309543,49.0,2.5741138408928004,0.0780034497240242,12.0,1.560924865345722,0.0473007534953249,95.0,C
13,e85322f9-3cab-0b5b-4435-ed9cd9ef008c,"Dzingel, Ryan",32.0,110,1.1699371946964412,0.0344099174910718,28.0,1.5886640229969615,0.051247226548289,31.0,1.486366523039767,0.0464489538449927,98.0,F
14,aac0832e-8972-5a3d-7f15-1ac5c9e80727,"Shaw, Logan",191.0,743,1.7182170272156323,0.0082211341015102,233.0,8.614103056812855,0.041816034256373,56.0,8.67727858928756,0.0454307779543851,100.0,F
15,f2566bc6-bfea-c074-e304-be4d0e8006e2,"Kambeitz, Dino",23.0,0,-0.177818097231914,-0.0012263317050476,572.0,-1.4610214203579177,-0.0103618540450916,628.0,1.0235994730871965,0.0445043249168346,104.0,RW
16,6488121e-ed37-2c24-34b7-84a6b947486c,"Carroll, Joe",130.0,476,1.1827901837636663,0.0079918255659707,242.0,6.013529902623105,0.0429537850187364,51.0,5.707750742040346,0.0439057749387718,105.0,LW
17,aed2833c-1982-2c81-12d6-ce42690c132f,"Anderson-Dolan, Jaret",24.0,93,0.6990788555478019,0.0332894693118,30.0,1.0815938169391164,0.0515044674732912,30.0,1.0366240675331593,0.0431926694805483,106.0,C
18,2e33542c-6735-7a9d-beb1-3911e384f921,"McDonough, Aidan",195.0,737,1.362285415212841,0.005772395827173,310.0,8.236975945122044,0.0394113681584786,76.0,8.304708255721744,0.0425882474652397,107.0,LW
19,c622c5d2-2a49-f3e5-6bf7-0e23fa29032e,"Crozier, Max",104.0,248,2.327752965806002,0.0129319609211444,123.0,1.3723116996069191,0.0084710598741167,343.0,4.426282339944423,0.0425604071148502,108.0,D
20,be80e6a7-4664-2ddb-bcd5-cd4e5085e1b5,"McGregor, Ryan",127.0,531,2.8513747383112356,0.0219336518331633,54.0,4.456856710827274,0.0350933599277738,92.0,4.979031917313499,0.0392049757268779,112.0,C
21,c10719af-87b4-f64d-abda-4dd75b197b9d,"Kniazev, Artemi",66.0,209,-0.0306280530355893,-0.0003032480498573,541.0,-0.623243903333574,-0.0062953929629653,535.0,2.550235190385523,0.0386399271270533,114.0,D
22,0ac29755-f1de-15b2-904e-d17a9ed4fac8,"Fleury, Cale",179.0,564,2.023378692719238,0.0080292805266636,240.0,0.6677200220916046,0.002782166758715,399.0,6.6043958678512045,0.0368960663008447,116.0,D
23,85ee3269-0c02-823e-7fe2-a1a0b0566cd7,"Chaffee, Mitchell",104.0,401,0.811139799953478,0.0064891183996278,282.0,4.459472956250349,0.0401754320382914,67.0,3.7905343491610255,0.0364474456650098,117.0,RW
24,1f96dae9-d63f-c6da-686b-351c8fc8c14c,"Day, Logan",141.0,399,3.135931612002792,0.0147226836244262,103.0,2.558955338570289,0.0120705440498598,317.0,5.1335162329694874,0.0364079165458828,118.0,D
25,5f6e7132-7315-97d1-1833-90ef2671c403,"Regenda, Pavol",167.0,700,1.630794370783904,0.0084497117657197,227.0,5.992591512530608,0.0342433800716034,95.0,6.068587244520247,0.0363388457755703,119.0,LW
26,e25ac5dd-5c9f-292e-3d0d-98f423829cce,"Anisimov, Artem",53.0,182,1.0972365666434056,0.0174164534387842,78.0,0.9745907850820535,0.0165184878827466,265.0,1.9226257413310293,0.0362759573836043,120.0,C
27,fb734863-ed94-8167-1f2c-039c70f6fed7,"Heinola, Ville",130.0,291,0.723790416375902,0.0038094232440836,384.0,0.3211159776013062,0.0016900840926384,409.0,4.658778253308212,0.0358367557946785,124.0,D
28,3fa9dd4a-efae-a4f4-e00c-d5885556b815,"Meyers, Ben",57.0,255,1.1720062805303562,0.0172353864783875,82.0,2.959296413651228,0.044837824449261,42.0,2.0371929062228973,0.0357402264249631,125.0,C
29,ad46103a-4d3e-9234-dee6-f970fd779e79,"Blidh, Anton",188.0,714,1.9205687369155624,0.0092335035428632,188.0,2.4965729424742067,0.0126089542549202,307.0,6.716726866393114,0.0357272705659208,126.0,F
30,5ad461c4-01e6-3090-18c9-0aa215276809,"Gushchin, Danil",236.0,970,2.6983531053733434,0.010581776883817,161.0,5.988760215816175,0.0248496274515193,176.0,8.381358374693917,0.0355142304012454,129.0,F
31,41c74b24-2875-6f45-d954-11ac6d6c410b,"Sutter, Brett",135.0,534,0.4937055129099795,0.0034285105063193,403.0,2.1469731275548622,0.0157865671143739,270.0,4.769938649231479,0.0353328788831961,130.0,LW
32,e687b686-2fb1-2fe6-dce2-df6b6c938539,"Ahcan, Jack",206.0,552,4.515348918353107,0.0137663076779058,113.0,-1.922100404790011,-0.006044340895566,529.0,7.197112439834204,0.0349374390283213,132.0,D
33,3df1ae9b-2aa4-e9cb-6921-02b059b862b6,"Caamano, Nicholas",184.0,741,2.3948022795999075,0.0119740113979995,138.0,8.374890436050205,0.043847593906022,46.0,6.424101584715489,0.0349135955691059,133.0,RW
34,b5213912-a849-6bc0-e07c-2b66d599713e,"Dean, Zachary",141.0,496,2.946491044428938,0.0183011866113598,71.0,7.6671874070667005,0.0488355885800426,34.0,4.911942830458967,0.0348364739748862,135.0,F
35,9fe3605d-f4f9-9c7f-e12d-760d6cc2d387,"Jost, Tyson",43.0,141,0.2843789253314726,0.0050781950952048,337.0,2.158403047412965,0.0415077509117877,58.0,1.4875684418357729,0.0345946149264133,136.0,C
36,8f7dc0f4-ca8a-10e4-040e-574cba9e71b1,"Drew, Hunter",105.0,430,0.3242288904396374,0.00327503929737,407.0,4.098141287002971,0.040177855754931,66.0,3.602223172827804,0.0343068873602648,137.0,RW
37,1b0ec3d0-fbd0-112f-f859-6c6696f55dee,"Beckman, Adam",234.0,913,1.8290032565712964,0.0077829925811544,248.0,6.285067260699413,0.0268592617978607,151.0,7.984534883185775,0.0341219439452383,138.0,LW
38,5dfe0fd2-51d9-4615-89ff-9ee6a2db9028,"Houde, Samuel",25.0,103,-0.1049860432658756,-0.0032808138520586,657.0,2.0285726024382003,0.081142904097528,11.0,0.8524309252141031,0.0340972370085641,139.0,C
39,9692be3e-1840-be44-346f-17fd56755724,"Henman, Luke",73.0,290,0.5104256803907888,0.0058002918226226,309.0,2.739380649611203,0.0334070810928195,101.0,2.397359129201426,0.0328405360164578,140.0,F
40,7336b864-27d6-7481-edab-db81bedbee4a,"Jardine, Sam",20.0,76,0.1417166782972785,0.0054506414729722,329.0,0.1521808376415067,0.0066165581583263,361.0,0.6526733791861483,0.0326336689593074,141.0,D
41,178c4dba-943e-4f43-64ea-51402c33f28d,"Miroshnichenko, Ivan",122.0,484,0.7516306117701795,0.0059653223156363,300.0,4.553937835304104,0.0361423637722547,86.0,3.9326210200855263,0.0322345985252912,142.0,LW
42,3d5d0fd7-9f6f-134b-217b-a762b833d6ad,"Wesley, Josh",24.0,63,-0.1764584787159803,-0.0053472266277569,738.0,-0.9871518100017898,-0.0274208836111608,959.0,0.766647092355418,0.0319436288481424,143.0,D
43,7e9f0d8e-e3cb-c9d9-5986-30ccc588774a,"McLaughlin, Blake",67.0,244,0.6931716678297282,0.0093671847004017,186.0,2.553833007236534,0.0399036407380708,70.0,2.118336818012032,0.0316169674330154,144.0,F
44,6b122583-dd65-ac45-1516-8d861b35db24,"Bjornfot, Tobias",24.0,54,-0.0761514305652476,-0.0029289011755864,649.0,-0.2675049928937608,-0.0102886535728369,623.0,0.7507953962656816,0.03128314151107,145.0,D
45,98e46ae5-eff9-0b8e-979e-9310c0f4d553,"Jonsson-Fjallby, Axel",120.0,464,0.9722086531751576,0.0083094756681637,232.0,3.215759387170486,0.0267979948930873,153.0,3.743638298665781,0.0311969858222148,147.0,RW
46,f4381702-541d-bbce-d4ad-9ada397f80ec,"Cracknell, Adam",225.0,893,1.5359560362875095,0.0064535967911239,283.0,4.624508999598603,0.020194362443662,229.0,6.962935507660866,0.0309463800340482,148.0,F
47,335244ec-3806-b028-c666-93782915701e,"Allard, Tristan",22.0,0,0.8016015352407544,0.0038724711847379,383.0,-0.8829170765076606,-0.0044818125711048,499.0,0.6774122726773757,0.0307914669398807,149.0,C
48,0ddb9eb2-2352-dab2-b22d-f0d30ee231ef,"Reedy, Scott",44.0,153,-0.3841277041172364,-0.0085361712026052,829.0,2.041078813582286,0.0453573069684952,40.0,1.3542004445794122,0.0307772828313502,178.0,F
49,c49719c8-8490-01cc-e81b-91996b030e35,"Jenik, Jan",146.0,609,0.8832751802744829,0.0053858242699663,330.0,3.767275834792852,0.0232547891036595,196.0,4.460805135662491,0.0305534598333047,179.0,C
50,b460c5a3-506f-26e8-0bd1-3e354b96b1b5,"Sourdif, Justin",176.0,667,1.7474098627587815,0.0090072673338081,195.0,5.786401084863136,0.0296738517172468,127.0,5.359637152099943,0.0304524838187496,180.0,RW
51,c8d33732-42a1-d13e-323a-6457dc42307a,"Richards, Justin",97.0,382,0.977833217027216,0.0099778899696654,175.0,1.234037583263929,0.0128545581589992,304.0,2.946142721135855,0.0303726053725345,181.0,C
52,4a330c37-6650-01f9-b5c3-76e54ed5a565,"Blumel, Matej",200.0,775,3.2052570365201216,0.015484333509759,93.0,5.694831735870427,0.0280533583047804,136.0,5.983789539272976,0.0299189476963648,182.0,F
53,a855a24c-10d7-480c-5f02-f40cacd514f9,"Luff, Matt",95.0,358,1.2100162828564789,0.0123471049271069,131.0,2.5820123550417344,0.0271790774214919,145.0,2.807546653960455,0.0295531226732679,184.0,RW
54,2930b9a2-e32f-9bc1-bad9-327d514a020e,"Phillips, Matthew",30.0,114,0.1843545010467551,0.005946919388605,302.0,0.8259512559390203,0.0275317085313006,141.0,0.8782191824597849,0.0292739727486594,185.0,RW
55,05017054-7f2a-ab0a-f2bf-9c685b7f0789,"Mastrosimone, Robert",142.0,616,1.8830460572226104,0.0132608877269197,117.0,5.739648949095235,0.0418952478036148,54.0,4.155928728502066,0.0292671037218455,186.0,LW
56,af933b87-4f83-feaa-feff-6f90363db186,"Sabourin, Scott",218.0,846,2.8940590835077935,0.0118608978832286,139.0,9.33066409616364,0.0398746328895882,72.0,6.3494664069225335,0.0291259926923052,187.0,F
57,41628483-4877-7355-2278-bf4aca0a7017,"Teply, Michal",247.0,1026,3.400653640381485,0.0132321153322236,118.0,10.432842278080388,0.0418989649722103,53.0,7.131643535466905,0.0288730507508781,189.0,F
58,af1d2155-8151-1411-7139-22b219311670,"Perreault, Jacob",112.0,433,2.198230983949756,0.0180182867536865,72.0,3.632710141553772,0.0307856791657099,115.0,3.2264418474651135,0.0288075164952242,191.0,RW
59,c0cc293f-af8f-d0d6-d86a-65f9e3ad1df1,"Damiani, Riley",198.0,809,1.2443928820655974,0.0059540329285435,301.0,9.219987496440822,0.0449755487631259,41.0,5.630678389434886,0.0284377696436105,193.0,F
60,425891d3-f7cd-c14c-6c9e-25c8e218baed,"Helleson, Drew",139.0,385,0.8032612235403591,0.0032259486889171,410.0,1.3356208450858549,0.0058324054370561,369.0,3.904860121664319,0.0280925188608943,194.0,D
61,e8fea67a-8042-8fda-08b4-f058368fe357,"Bolduc, Zachary",135.0,525,3.622284252151664,0.0251547517510532,48.0,4.927792717806006,0.0339847773641793,97.0,3.7874912306834134,0.0280554905976549,195.0,RW
62,d9cf213c-8aa3-ec29-2aa1-29c82ed7d5bb,"Raty, Aku",172.0,720,2.6923237962316824,0.0153847074070381,95.0,4.863232746791223,0.0276320042431319,139.0,4.751248546696223,0.0276235380621873,196.0,RW
63,3aa7c517-7091-0133-341a-3abc7d3a674f,"McKenzie, Curtis",184.0,737,4.003775296580601,0.0214105630833187,58.0,7.307119501293205,0.0405951083405178,63.0,5.065142396086949,0.0275279478048203,197.0,LW
64,936ad397-0a05-0d42-2c84-a8d14ddf2971,"Kozak, Tyson",100.0,429,0.8272702954175394,0.0074528855443021,255.0,3.700980003608548,0.0349149056944202,93.0,2.690181790892847,0.0269018179089284,198.0,C
65,0bfc03fb-71ed-510a-01d1-3e6e6a1ff531,"Torgersson, Daniel",25.0,0,0.3613398464759253,0.0015710428107648,467.0,-1.7938885007640208,-0.0080443430527534,575.0,0.6697866734970175,0.0267914669398807,199.0,LW
66,fc4b5423-4463-8a2b-f319-30916f7c8928,"Olofsson, Fredrik",48.0,162,1.3693230983949758,0.0285275645498953,34.0,1.3465728354500306,0.0299238407877784,122.0,1.2765891740141069,0.0265956077919605,200.0,C
67,e14d8b1e-280b-fcd3-8676-f0ec14a86d80,"Hirvonen, Roni",127.0,484,1.251528262386602,0.0097775645498953,178.0,5.416907108209578,0.0436847347436256,47.0,3.35547850295822,0.0264210905744741,201.0,C
68,31afd5bc-827c-9211-5784-f7a96764b140,"Rondbjerg, Jonas",171.0,708,1.4081716678297285,0.0072962262581851,258.0,4.792240561127557,0.0260447856583019,165.0,4.443117331007281,0.0259831422865922,202.0,F
69,0fc2aec6-40be-303c-e3c0-f99a7402a6c5,"Barre-Boulet, Alex",67.0,268,0.5398743893928823,0.0079393292557776,244.0,3.4687996425854104,0.0517731289938121,28.0,1.7264326140240376,0.0257676509555826,203.0,C
70,7356658c-38e1-ed2f-84ec-a3abbaceff57,"MacEachern, MacKenzie",113.0,404,2.0449848802046993,0.0179384638614447,74.0,1.9066556906975431,0.0165796147017177,264.0,2.8588248626922503,0.025299335068073,204.0,LW
71,9bfe9ddc-4b06-ca9d-ed9a-9fbda2f10d8b,"Kero, Tanner",190.0,792,0.5598069318446157,0.0026531134210645,428.0,5.418476590942241,0.0272285255826243,144.0,4.793176682453421,0.0252272456971232,205.0,C
72,6c78afc0-6490-5b83-db5f-7f87839dc862,"Hoelscher, Mitchell",59.0,246,0.6951407304024193,0.0121954514105687,135.0,2.417906934994724,0.0416880506033573,57.0,1.4713577010767358,0.0249382661199446,206.0,C
73,4a3350c4-97e1-9963-9715-c358507e8b95,"White, Colin",30.0,138,-1.349159106769016,-0.0221173624060494,1004.0,1.4184317044454766,0.0429827789225902,50.0,0.7399508290103791,0.0246650276336793,208.0,C
74,57c6f70d-40e1-30b6-e92f-b01c49faf541,"Wagner, Ryan",23.0,0,-1.3377390090718766,-0.0064314375436147,770.0,-2.43486583537057,-0.0126158851573604,689.0,0.5562973398221668,0.0241868408618333,211.0,LW
75,dd036e87-28ae-a770-1287-111ca91925a2,"Hinostroza, Vinnie",116.0,438,0.7152802977436618,0.0050729099130756,338.0,1.0602878550122563,0.0084149829762877,345.0,2.7935106578033917,0.0240819884293395,212.0,C
76,933793a1-349e-90c0-babf-a1dd14e6511f,"Hatakka, Santeri",144.0,340,1.91670853686904,0.0088736506336529,200.0,-4.481042381492487,-0.0211369923655306,874.0,3.420412758898475,0.0237528663812394,213.0,D
77,4eecd58b-a888-e165-9a1a-0d284825ae25,"Kulich, Jiri",143.0,552,-0.741852756454989,-0.0044422320745807,687.0,2.0094342392905595,0.0125589639955659,309.0,3.3799822696122823,0.0236362396476383,214.0,C
78,bfcaa06a-42fc-68bf-aeb2-f26f3d6c02f7,"Ibragimov, Timur",121.0,478,0.999381251453827,0.0081250508248278,236.0,6.414625244178972,0.0543612308828726,23.0,2.8576380513079536,0.0236168433992392,215.0,LW
79,18661cc1-b9d0-2e30-154e-9ae1b75e54e8,"Healey, Josh",82.0,185,1.032431960921145,0.0066181535956483,278.0,-0.8305618830511412,-0.0053584637616202,518.0,1.920787595388379,0.0234242389681509,216.0,D
